# List of additional categories for OSM objects.
# Format: type,id,key1=value1,key2=value2,...
# Example: way,34306743,olympics=stadium

# CIAN, from https://docs.google.com/spreadsheets/d/1-eL6vc107oKAZaZB9joJTqe3W_I8JYQWTZWc5RvB434/edit#gid=1154687572
way,134638077,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-radishceva-39-sankt-peterburg-7247/,name=ЖК «Радищева 39»
way,218560926,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-dom-na-dvoryanskoy-sankt-peterburg-7279/,name=ЖК «Дом на Дворянской»
way,503908411,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-verona-sankt-peterburg-7273/,name=ЖК «Verona»
relation,4125729,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-samocvety-sankt-peterburg-6961/,name=ЖК «Самоцветы»
way,187181747,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-dom-na-malom-sankt-peterburg-6611/,name=ЖК «Дом на Малом»
relation,6443034,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-the-residence-sankt-peterburg-5643/,name=ЖК «The RESIDENCE»
way,143882277,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-kapitan-nemo-sankt-peterburg-35250/,name=ЖК «Капитан Немо»
way,424990704,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-skandi-klubb-sankt-peterburg-7450/,name=ЖК «Skandi Klubb»
way,490933206,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-premer-palas-sankt-peterburg-7420/,name=ЖК «Премьер Палас»
way,226128953,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-na-grebeckoy-sankt-peterburg-7004/,name=ЖК «На Гребецкой»
way,330334502,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-ligovskiy-123-sankt-peterburg-6840/,name=ЖК «Лиговский 123»
way,125249256,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-dom-cezarya-kavosa-sankt-peterburg-7615/,name=ЖК «Дом Цезаря Кавоса»
way,66110377,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-hovard-palace-sankt-peterburg-7179/,name=ЖК «HOVARD PALACE»
way,418075089,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-artstudio-sankt-peterburg-8764/,name=ЖК «ArtStudio»
way,30174412,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-smolnyy-prospekt-sankt-peterburg-5290/,name=ЖК «Смольный проспект»
relation,6915147,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-chetyre-gorizonta-sankt-peterburg-7202/,name=ЖК «Четыре горизонта»
way,364491650,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-landyshi-sankt-peterburg-7227/,name=ЖК «Ландыши»
relation,4049753,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-kalinapark-ii-sankt-peterburg-6946/,name=ЖК «Калина-Парк II»
way,476258726,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-life-lesnaya-sankt-peterburg-37886/,name=ЖК «Life Лесная»
way,77722663,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-tri-vetra-sankt-peterburg-7064/,name=ЖК «Три ветра»
way,478453700,sponsored=cian,website=https://spb.cian.ru/zhiloy-kompleks-pervyy-kvartal-sankt-peterburg-31316/,name=ЖК «Первый квартал»
